,Step Size,Accuracy average,Convergence Epoch average,Fold 1,Convergence Epoch 1,Fold 2,Convergence Epoch 2,Fold 3,Convergence Epoch 3,Fold 4,Convergence Epoch 4,Fold 5,Convergence Epoch 5
0,0.001,0.9265091863517061,2338.4,0.9291338582677166,2310.0,0.926509186351706,2358.0,0.931758530183727,2348.0,0.9291338582677166,2338.0,0.916010498687664,2338.0
1,0.005,0.9304461942257218,518.2,0.9330708661417323,512.0,0.931758530183727,523.0,0.9356955380577427,520.0,0.937007874015748,518.0,0.9146981627296588,518.0
2,0.01,0.9307086614173228,264.0,0.9330708661417323,261.0,0.9330708661417323,266.0,0.9356955380577427,265.0,0.937007874015748,264.0,0.9146981627296588,264.0
3,0.05,0.9299212598425198,57.8,0.9304461942257218,57.0,0.9304461942257218,58.0,0.9343832020997376,58.0,0.9356955380577427,58.0,0.9186351706036745,58.0
4,0.1,0.9312335958005249,48.0,0.9304461942257218,29.0,0.9330708661417323,121.0,0.9343832020997376,28.0,0.9356955380577427,32.0,0.9225721784776902,30.0
