,Config,Test Accuracy,Train Accuracy,E_min,Weights
0,0,0.9291338582677166,0.9271653543307087,0.1862351056154205,"[-0.82869886  0.59971696  1.09083281  1.15130297 -0.20355204  1.21913573
  1.22168954  0.05576438]"
1,1,0.9291338582677166,0.9271653543307087,0.18623020080227062,"[-0.81565592  0.58307528  1.0811889   1.13832065 -0.20901201  1.19839579
  1.23354756  0.05311544]"
2,2,0.9212598425196851,0.9153543307086615,0.2118959385303268,"[-0.26940485  0.75990862  0.83948858  0.87252277  0.33064239  0.66058535
  0.76704875 -0.11754119]"
3,3,0.9199475065616798,0.9140419947506562,0.40181676284672607,"[-0.05401305  0.20679484  0.22229198  0.22779162  0.10345554  0.16212584
  0.20756165 -0.02631887]"
