Config,Test Accuracy,Train Accuracy,Weights,Times
GD - no regularization,0.9304461942257218,0.9330708661417323,"[-0.65810379 -6.84203072 -1.669247    1.62021501 -2.271323    0.2787445
 12.86876911  0.03020381]",27.47286605834961
GD - regularization,0.9330708661417323,0.9320866141732284,"[-0.71127242 -3.65835222 -0.43212632  1.10342824 -1.72168111  0.5829326
  8.39314326  0.04193359]",27.232612133026123
SGD - no regularization,0.9199475065616798,0.9156824146981627,"[-0.30407161  1.00942709  1.11539544  1.16249839  0.43969301  0.88405082
  1.02226376 -0.25458143]",9.530356407165527
SGD - regularization,0.9186351706036745,0.9150262467191601,"[-0.19159835  0.49533447  0.54733466  0.57166845  0.21573345  0.4356348
  0.50026297 -0.04868647]",9.709450960159302
